Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1013.09,
20-September-2005,,,,1022.43,
21-September-2005,,,,1007.77,
22-September-2005,,,,974.92,
23-September-2005,,,,970.41,
26-September-2005,,,,989.95,
27-September-2005,,,,1001.58,
28-September-2005,,,,1015.75,
29-September-2005,,,,1009.92,
30-September-2005,,,,1016.97,
3-October-2005,,,,1017.40,
4-October-2005,,,,1028.71,
5-October-2005,,,,1010.92,
6-October-2005,,,,979.48,
7-October-2005,,,,971.92,
10-October-2005,,,,967.31,
11-October-2005,,,,981.17,
13-October-2005,,,,965.84,
14-October-2005,,,,944.20,
17-October-2005,,,,944.68,
18-October-2005,,,,937.78,
19-October-2005,,,,921.85,
20-October-2005,,,,904.08,
21-October-2005,,,,909.43,
24-October-2005,,,,897.94,
25-October-2005,,,,906.41,
26-October-2005,,,,909.45,
27-October-2005,,,,883.72,
28-October-2005,,,,868.58,
31-October-2005,,,,892.45,
1-November-2005,,,,898.59,
2-November-2005,,,,905.06,
7-November-2005,,,,911.74,
8-November-2005,,,,926.56,
9-November-2005,,,,929.28,
10-November-2005,,,,925.84,
11-November-2005,,,,944.85,
14-November-2005,,,,965.03,
16-November-2005,,,,975.65,
17-November-2005,,,,985.32,
18-November-2005,,,,983.67,
21-November-2005,,,,971.63,
22-November-2005,,,,960.16,
23-November-2005,,,,971.72,
24-November-2005,,,,984.26,
25-November-2005,,,,996.56,
28-November-2005,,,,1003.11,
29-November-2005,,,,992.71,
30-November-2005,,,,985.52,
1-December-2005,,,,996.52,
2-December-2005,,,,997.90,
5-December-2005,,,,983.88,
6-December-2005,,,,979.23,
7-December-2005,,,,987.90,
8-December-2005,,,,986.26,
9-December-2005,,,,996.01,
12-December-2005,,,,1007.37,
13-December-2005,,,,1022.74,
14-December-2005,,,,1039.70,
15-December-2005,,,,1020.38,
16-December-2005,,,,1046.23,
19-December-2005,,,,1055.88,
20-December-2005,,,,1052.10,
21-December-2005,,,,1048.54,
22-December-2005,,,,1054.49,
23-December-2005,,,,1037.61,
26-December-2005,,,,1006.08,
27-December-2005,,,,1024.93,
28-December-2005,,,,1024.13,
29-December-2005,,,,1025.35,
30-December-2005,,,,1036.63,
2-January-2006,,,,1042.70,
3-January-2006,,,,1058.47,
4-January-2006,,,,1075.07,
5-January-2006,,,,1084.30,
6-January-2006,,,,1088.21,
9-January-2006,,,,1080.57,
10-January-2006,,,,1065.10,
12-January-2006,,,,1058.83,
13-January-2006,,,,1053.96,
16-January-2006,,,,1044.43,
17-January-2006,,,,1033.76,
18-January-2006,,,,1024.28,
19-January-2006,,,,1039.15,
20-January-2006,,,,1057.30,
23-January-2006,,,,1047.38,
24-January-2006,,,,1048.38,
25-January-2006,,,,1059.89,
27-January-2006,,,,1090.66,
30-January-2006,,,,1083.16,
31-January-2006,,,,1086.82,
1-February-2006,,,,1071.61,
2-February-2006,,,,1059.24,
3-February-2006,,,,1045.25,
6-February-2006,,,,1071.12,
7-February-2006,,,,1090.24,
8-February-2006,,,,1084.60,
10-February-2006,,,,1087.11,
13-February-2006,,,,1091.32,
14-February-2006,,,,1084.49,
15-February-2006,,,,1083.41,
16-February-2006,,,,1084.78,
17-February-2006,,,,1065.92,
20-February-2006,,,,1067.28,
21-February-2006,,,,1076.78,
22-February-2006,,,,1080.07,
23-February-2006,,,,1073.91,
24-February-2006,,,,1084.83,
27-February-2006,,,,1094.57,
28-February-2006,,,,1098.08,
1-March-2006,,,,1105.83,
2-March-2006,,,,1115.68,
3-March-2006,,,,1105.79,
6-March-2006,,,,1111.42,
7-March-2006,,,,1108.80,
8-March-2006,,,,1087.29,
9-March-2006,,,,1092.31,
10-March-2006,,,,1111.17,
13-March-2006,,,,1111.39,
14-March-2006,,,,1117.26,
16-March-2006,,,,1124.87,
17-March-2006,,,,1121.64,
20-March-2006,,,,1121.00,
21-March-2006,,,,1108.07,
22-March-2006,,,,1099.37,
23-March-2006,,,,1101.43,
24-March-2006,,,,1108.50,
27-March-2006,,,,1114.91,
28-March-2006,,,,1110.54,
29-March-2006,,,,1116.30,
30-March-2006,,,,1114.32,
31-March-2006,,,,1118.59,
3-April-2006,,,,1135.55,
4-April-2006,,,,1155.81,
5-April-2006,,,,1168.01,
7-April-2006,,,,1139.10,
10-April-2006,,,,1134.57,
12-April-2006,,,,1112.27,
13-April-2006,,,,1088.22,
17-April-2006,,,,1105.19,
18-April-2006,,,,1127.54,
19-April-2006,,,,1127.92,
20-April-2006,,,,1129.11,
21-April-2006,,,,1129.36,
24-April-2006,,,,1112.37,
25-April-2006,,,,1096.71,
26-April-2006,,,,1113.14,
27-April-2006,,,,1106.92,
28-April-2006,,,,1108.20,
2-May-2006,,,,1164.09,
3-May-2006,,,,1188.85,
4-May-2006,,,,1200.85,
5-May-2006,,,,1190.83,
8-May-2006,,,,1196.39,
9-May-2006,,,,1205.77,
10-May-2006,,,,1229.70,
11-May-2006,,,,1222.07,
