Date,Open,High,Low,Close
1-February-1999,,,,1000.00,
2-February-1999,,,,980.76,
3-February-1999,,,,1003.15,
4-February-1999,,,,982.50,
5-February-1999,,,,1170.29,
8-February-1999,,,,995.66,
9-February-1999,,,,1015.47,
10-February-1999,,,,1031.59,
11-February-1999,,,,1035.68,
12-February-1999,,,,1045.92,
15-February-1999,,,,1047.39,
16-February-1999,,,,1063.89,
17-February-1999,,,,1090.67,
18-February-1999,,,,1102.58,
19-February-1999,,,,1091.16,
22-February-1999,,,,1057.28,
23-February-1999,,,,1040.00,
24-February-1999,,,,1067.14,
25-February-1999,,,,1082.59,
26-February-1999,,,,1079.08,
1-March-1999,,,,1248.92,
3-March-1999,,,,1318.41,
4-March-1999,,,,1266.98,
5-March-1999,,,,1277.99,
8-March-1999,,,,1282.15,
9-March-1999,,,,1293.20,
10-March-1999,,,,1289.51,
11-March-1999,,,,1265.70,
12-March-1999,,,,1338.88,
15-March-1999,,,,1400.93,
16-March-1999,,,,1407.64,
17-March-1999,,,,1362.08,
19-March-1999,,,,1316.43,
22-March-1999,,,,1329.38,
23-March-1999,,,,1307.10,
24-March-1999,,,,1252.79,
26-March-1999,,,,1221.55,
30-March-1999,,,,1251.29,
31-March-1999,,,,1320.31,
1-April-1999,,,,1313.05,
5-April-1999,,,,1237.42,
6-April-1999,,,,1219.00,
7-April-1999,,,,1232.25,
8-April-1999,,,,1208.02,
9-April-1999,,,,1137.69,
12-April-1999,,,,1138.84,
13-April-1999,,,,1124.92,
15-April-1999,,,,1066.76,
16-April-1999,,,,1144.39,
19-April-1999,,,,1112.48,
20-April-1999,,,,1129.00,
21-April-1999,,,,1151.50,
22-April-1999,,,,1122.39,
23-April-1999,,,,1099.50,
26-April-1999,,,,1036.99,
28-April-1999,,,,1027.12,
29-April-1999,,,,1058.92,
3-May-1999,,,,1094.52,
4-May-1999,,,,1159.07,
5-May-1999,,,,1224.10,
6-May-1999,,,,1267.71,
7-May-1999,,,,1284.59,
10-May-1999,,,,1259.38,
11-May-1999,,,,1269.59,
12-May-1999,,,,1231.97,
13-May-1999,,,,1250.75,
14-May-1999,,,,1247.05,
17-May-1999,,,,1210.60,
18-May-1999,,,,1232.97,
19-May-1999,,,,1220.66,
20-May-1999,,,,1260.25,
21-May-1999,,,,1249.41,
24-May-1999,,,,1246.05,
25-May-1999,,,,1260.27,
26-May-1999,,,,1234.35,
27-May-1999,,,,1205.72,
28-May-1999,,,,1178.53,
31-May-1999,,,,1223.03,
1-June-1999,,,,1214.35,
2-June-1999,,,,1225.11,
3-June-1999,,,,1233.73,
4-June-1999,,,,1225.24,
7-June-1999,,,,1191.18,
8-June-1999,,,,1195.76,
9-June-1999,,,,1216.28,
10-June-1999,,,,1218.87,
11-June-1999,,,,1195.02,
14-June-1999,,,,1159.79,
15-June-1999,,,,1126.48,
16-June-1999,,,,1128.03,
17-June-1999,,,,1138.71,
18-June-1999,,,,1125.75,
21-June-1999,,,,1188.77,
22-June-1999,,,,1217.99,
23-June-1999,,,,1220.01,
24-June-1999,,,,1220.98,
25-June-1999,,,,1229.10,
28-June-1999,,,,1261.36,
29-June-1999,,,,1258.25,
30-June-1999,,,,1249.95,
1-July-1999,,,,1254.95,
2-July-1999,,,,1251.14,
5-July-1999,,,,1277.85,
6-July-1999,,,,1289.57,
7-July-1999,,,,1283.47,
8-July-1999,,,,1258.11,
9-July-1999,,,,1265.30,
12-July-1999,,,,1326.03,
13-July-1999,,,,1321.69,
14-July-1999,,,,1369.92,
15-July-1999,,,,1383.42,
16-July-1999,,,,1393.85,
19-July-1999,,,,1502.16,
20-July-1999,,,,1423.50,
21-July-1999,,,,1424.26,
22-July-1999,,,,1410.81,
23-July-1999,,,,1391.17,
26-July-1999,,,,1430.51,
27-July-1999,,,,1418.67,
28-July-1999,,,,1490.44,
29-July-1999,,,,1520.42,
30-July-1999,,,,1517.56,
2-August-1999,,,,1560.70,
3-August-1999,,,,1570.54,
4-August-1999,,,,1608.24,
5-August-1999,,,,1578.13,
6-August-1999,,,,1589.00,
9-August-1999,,,,1620.06,
10-August-1999,,,,1578.94,
11-August-1999,,,,1593.78,
12-August-1999,,,,1605.97,
13-August-1999,,,,1579.17,
16-August-1999,,,,1633.45,
17-August-1999,,,,1652.73,
18-August-1999,,,,1668.61,
19-August-1999,,,,1638.77,
20-August-1999,,,,1621.14,
23-August-1999,,,,1653.82,
24-August-1999,,,,1663.74,
25-August-1999,,,,1645.53,
26-August-1999,,,,1659.78,
27-August-1999,,,,1651.32,
30-August-1999,,,,1650.80,
31-August-1999,,,,1659.27,
1-September-1999,,,,1626.13,
2-September-1999,,,,1602.24,
3-September-1999,,,,1592.08,
6-September-1999,,,,1673.95,
7-September-1999,,,,1639.24,
8-September-1999,,,,1666.19,
9-September-1999,,,,1636.55,
10-September-1999,,,,1642.72,
14-September-1999,,,,1634.18,
15-September-1999,,,,1659.19,
16-September-1999,,,,1657.06,
17-September-1999,,,,1736.34,
20-September-1999,,,,1839.86,
21-September-1999,,,,1954.46,
22-September-1999,,,,2013.08,
23-September-1999,,,,2086.34,
24-September-1999,,,,2102.23,
27-September-1999,,,,2085.04,
28-September-1999,,,,2054.65,
29-September-1999,,,,2088.79,
30-September-1999,,,,2070.21,
1-October-1999,,,,2032.43,
4-October-1999,,,,2004.33,
5-October-1999,,,,2081.59,
6-October-1999,,,,2128.52,
7-October-1999,,,,2281.65,
8-October-1999,,,,2313.67,
11-October-1999,,,,2328.69,
12-October-1999,,,,2351.73,
13-October-1999,,,,2345.67,
14-October-1999,,,,2329.95,
15-October-1999,,,,2226.19,
18-October-1999,,,,2212.56,
20-October-1999,,,,2229.01,
21-October-1999,,,,2125.65,
22-October-1999,,,,2044.17,
25-October-1999,,,,1961.88,
26-October-1999,,,,2070.31,
27-October-1999,,,,2028.92,
28-October-1999,,,,1957.21,
29-October-1999,,,,1865.25,
1-November-1999,,,,1744.38,
2-November-1999,,,,1877.27,
3-November-1999,,,,1957.73,
