Date,Open,High,Low,Close
31-January-2000,,,,3066.55,
1-February-2000,,,,3180.41,
2-February-2000,,,,3224.27,
3-February-2000,,,,3342.97,
4-February-2000,,,,3458.07,
7-February-2000,,,,3571.39,
8-February-2000,,,,3640.41,
9-February-2000,,,,3665.63,
10-February-2000,,,,3844.40,
11-February-2000,,,,3997.84,
14-February-2000,,,,4139.84,
15-February-2000,,,,4071.10,
16-February-2000,,,,4096.79,
17-February-2000,,,,4270.41,
18-February-2000,,,,4322.25,
21-February-2000,,,,4566.03,
22-February-2000,,,,4533.66,
23-February-2000,,,,4257.87,
24-February-2000,,,,4321.79,
25-February-2000,,,,4088.31,
28-February-2000,,,,4053.84,
29-February-2000,,,,3898.97,
1-March-2000,,,,4193.39,
2-March-2000,,,,4448.76,
3-March-2000,,,,4495.46,
6-March-2000,,,,4701.45,
7-March-2000,,,,4788.78,
8-March-2000,,,,4672.49,
9-March-2000,,,,4447.28,
10-March-2000,,,,4323.62,
13-March-2000,,,,4057.55,
14-March-2000,,,,3877.29,
15-March-2000,,,,3832.09,
16-March-2000,,,,3634.58,
21-March-2000,,,,3634.76,
22-March-2000,,,,3777.55,
23-March-2000,,,,3765.74,
24-March-2000,,,,3823.36,
27-March-2000,,,,3909.22,
28-March-2000,,,,3892.37,
29-March-2000,,,,3909.97,
30-March-2000,,,,3674.70,
31-March-2000,,,,3443.70,
3-April-2000,,,,3188.40,
4-April-2000,,,,2933.38,
5-April-2000,,,,2859.25,
6-April-2000,,,,2948.28,
7-April-2000,,,,3184.08,
10-April-2000,,,,3437.99,
11-April-2000,,,,3591.87,
12-April-2000,,,,3506.81,
13-April-2000,,,,3268.39,
17-April-2000,,,,3011.74,
18-April-2000,,,,2814.34,
19-April-2000,,,,2655.67,
20-April-2000,,,,2632.24,
24-April-2000,,,,2517.67,
25-April-2000,,,,2513.55,
26-April-2000,,,,2700.62,
27-April-2000,,,,2610.07,
28-April-2000,,,,2594.17,
2-May-2000,,,,2381.65,
3-May-2000,,,,2297.28,
4-May-2000,,,,2483.70,
5-May-2000,,,,2653.95,
8-May-2000,,,,2482.46,
9-May-2000,,,,2597.41,
10-May-2000,,,,2467.31,
11-May-2000,,,,2250.33,
12-May-2000,,,,2106.72,
15-May-2000,,,,2167.40,
16-May-2000,,,,2171.94,
17-May-2000,,,,2142.56,
18-May-2000,,,,2144.97,
19-May-2000,,,,2045.03,
22-May-2000,,,,1881.07,
23-May-2000,,,,1928.44,
24-May-2000,,,,1904.30,
25-May-2000,,,,1893.23,
26-May-2000,,,,1822.27,
29-May-2000,,,,1849.63,
30-May-2000,,,,1984.38,
31-May-2000,,,,2155.06,
1-June-2000,,,,2121.29,
2-June-2000,,,,2272.56,
5-June-2000,,,,2372.84,
6-June-2000,,,,2471.47,
7-June-2000,,,,2490.17,
8-June-2000,,,,2569.28,
9-June-2000,,,,2535.85,
12-June-2000,,,,2477.03,
13-June-2000,,,,2461.36,
14-June-2000,,,,2493.44,
15-June-2000,,,,2564.47,
16-June-2000,,,,2688.10,
19-June-2000,,,,2775.49,
20-June-2000,,,,2810.93,
21-June-2000,,,,2639.58,
22-June-2000,,,,2654.91,
23-June-2000,,,,2519.57,
26-June-2000,,,,2521.37,
27-June-2000,,,,2508.78,
28-June-2000,,,,2529.43,
29-June-2000,,,,2536.03,
30-June-2000,,,,2524.40,
3-July-2000,,,,2646.11,
4-July-2000,,,,2653.70,
5-July-2000,,,,2608.32,
6-July-2000,,,,2570.59,
7-July-2000,,,,2566.37,
10-July-2000,,,,2507.62,
11-July-2000,,,,2488.11,
12-July-2000,,,,2581.00,
13-July-2000,,,,2464.27,
14-July-2000,,,,2419.13,
17-July-2000,,,,2365.64,
18-July-2000,,,,2319.11,
19-July-2000,,,,2269.46,
20-July-2000,,,,2278.38,
21-July-2000,,,,2217.67,
24-July-2000,,,,2034.90,
25-July-2000,,,,2163.09,
26-July-2000,,,,2014.21,
27-July-2000,,,,2098.56,
