Date,Open,High,Low,Close
16-September-2005,,,,1000.00,
19-September-2005,,,,1007.75,
20-September-2005,,,,1017.12,
21-September-2005,,,,1016.33,
22-September-2005,,,,977.74,
23-September-2005,,,,974.02,
26-September-2005,,,,1008.55,
27-September-2005,,,,1018.73,
28-September-2005,,,,1037.78,
29-September-2005,,,,1041.46,
30-September-2005,,,,1025.60,
3-October-2005,,,,1031.34,
4-October-2005,,,,1043.46,
5-October-2005,,,,1037.70,
6-October-2005,,,,1026.32,
7-October-2005,,,,1024.92,
10-October-2005,,,,1014.12,
11-October-2005,,,,1022.94,
13-October-2005,,,,1005.97,
14-October-2005,,,,985.88,
17-October-2005,,,,988.64,
18-October-2005,,,,975.86,
19-October-2005,,,,953.75,
20-October-2005,,,,950.71,
21-October-2005,,,,973.19,
24-October-2005,,,,958.93,
25-October-2005,,,,969.15,
26-October-2005,,,,964.06,
27-October-2005,,,,951.84,
28-October-2005,,,,937.12,
31-October-2005,,,,953.90,
1-November-2005,,,,961.59,
2-November-2005,,,,968.87,
7-November-2005,,,,982.50,
8-November-2005,,,,994.47,
9-November-2005,,,,991.76,
10-November-2005,,,,997.33,
11-November-2005,,,,1016.16,
14-November-2005,,,,1019.84,
16-November-2005,,,,1035.73,
17-November-2005,,,,1046.39,
18-November-2005,,,,1045.62,
21-November-2005,,,,1046.72,
22-November-2005,,,,1030.93,
23-November-2005,,,,1043.91,
24-November-2005,,,,1054.79,
25-November-2005,,,,1055.51,
28-November-2005,,,,1069.93,
29-November-2005,,,,1071.93,
30-November-2005,,,,1056.83,
1-December-2005,,,,1067.72,
2-December-2005,,,,1063.05,
5-December-2005,,,,1054.87,
6-December-2005,,,,1054.37,
7-December-2005,,,,1064.45,
8-December-2005,,,,1071.16,
9-December-2005,,,,1091.63,
12-December-2005,,,,1101.34,
13-December-2005,,,,1113.30,
14-December-2005,,,,1096.34,
15-December-2005,,,,1082.60,
16-December-2005,,,,1087.55,
19-December-2005,,,,1098.40,
20-December-2005,,,,1100.28,
21-December-2005,,,,1105.45,
22-December-2005,,,,1106.74,
23-December-2005,,,,1094.76,
26-December-2005,,,,1084.27,
27-December-2005,,,,1114.41,
28-December-2005,,,,1118.95,
29-December-2005,,,,1136.61,
30-December-2005,,,,1132.83,
2-January-2006,,,,1145.36,
3-January-2006,,,,1166.29,
4-January-2006,,,,1171.06,
5-January-2006,,,,1166.38,
6-January-2006,,,,1170.94,
9-January-2006,,,,1169.30,
10-January-2006,,,,1150.94,
12-January-2006,,,,1138.81,
13-January-2006,,,,1142.66,
16-January-2006,,,,1135.79,
17-January-2006,,,,1171.16,
18-January-2006,,,,1144.22,
19-January-2006,,,,1156.84,
20-January-2006,,,,1167.37,
23-January-2006,,,,1163.20,
24-January-2006,,,,1153.30,
25-January-2006,,,,1155.35,
27-January-2006,,,,1164.08,
30-January-2006,,,,1162.04,
31-January-2006,,,,1162.93,
1-February-2006,,,,1149.80,
2-February-2006,,,,1145.68,
3-February-2006,,,,1132.01,
6-February-2006,,,,1157.41,
7-February-2006,,,,1153.67,
8-February-2006,,,,1152.00,
10-February-2006,,,,1157.28,
13-February-2006,,,,1158.44,
14-February-2006,,,,1154.91,
15-February-2006,,,,1142.94,
16-February-2006,,,,1145.80,
17-February-2006,,,,1131.09,
20-February-2006,,,,1142.22,
21-February-2006,,,,1143.21,
22-February-2006,,,,1153.42,
23-February-2006,,,,1155.90,
24-February-2006,,,,1155.44,
27-February-2006,,,,1154.92,
28-February-2006,,,,1142.34,
1-March-2006,,,,1139.54,
2-March-2006,,,,1148.45,
3-March-2006,,,,1152.35,
6-March-2006,,,,1172.24,
7-March-2006,,,,1169.96,
8-March-2006,,,,1150.98,
9-March-2006,,,,1157.95,
10-March-2006,,,,1165.76,
13-March-2006,,,,1176.48,
14-March-2006,,,,1184.50,
16-March-2006,,,,1208.89,
17-March-2006,,,,1217.79,
20-March-2006,,,,1222.28,
21-March-2006,,,,1225.50,
22-March-2006,,,,1219.44,
23-March-2006,,,,1226.06,
24-March-2006,,,,1232.45,
27-March-2006,,,,1249.07,
28-March-2006,,,,1249.04,
29-March-2006,,,,1252.29,
30-March-2006,,,,1267.12,
31-March-2006,,,,1266.50,
3-April-2006,,,,1301.83,
4-April-2006,,,,1315.34,
5-April-2006,,,,1313.76,
7-April-2006,,,,1296.88,
10-April-2006,,,,1303.66,
12-April-2006,,,,1294.81,
13-April-2006,,,,1301.62,
17-April-2006,,,,1312.91,
18-April-2006,,,,1357.95,
19-April-2006,,,,1393.47,
20-April-2006,,,,1458.00,
21-April-2006,,,,1441.68,
24-April-2006,,,,1455.28,
25-April-2006,,,,1428.02,
26-April-2006,,,,1471.46,
27-April-2006,,,,1461.72,
28-April-2006,,,,1474.18,
2-May-2006,,,,1504.77,
3-May-2006,,,,1513.97,
4-May-2006,,,,1555.08,
5-May-2006,,,,1584.61,
8-May-2006,,,,1633.85,
9-May-2006,,,,1646.78,
10-May-2006,,,,1678.53,
11-May-2006,,,,1611.05,
12-May-2006,,,,1559.51,
15-May-2006,,,,1491.90,
16-May-2006,,,,1501.44,
17-May-2006,,,,1568.03,
18-May-2006,,,,1456.20,
19-May-2006,,,,1407.36,
22-May-2006,,,,1329.53,
23-May-2006,,,,1382.22,
24-May-2006,,,,1337.48,
25-May-2006,,,,1355.16,
26-May-2006,,,,1364.01,
29-May-2006,,,,1365.18,
30-May-2006,,,,1359.71,
31-May-2006,,,,1331.91,
1-June-2006,,,,1287.70,
2-June-2006,,,,1329.16,
5-June-2006,,,,1287.49,
6-June-2006,,,,1247.83,
7-June-2006,,,,1203.65,
8-June-2006,,,,1119.09,
9-June-2006,,,,1213.93,
12-June-2006,,,,1186.41,
13-June-2006,,,,1140.67,
14-June-2006,,,,1145.89,
15-June-2006,,,,1202.30,
16-June-2006,,,,1230.16,
19-June-2006,,,,1244.90,
20-June-2006,,,,1238.78,
21-June-2006,,,,1278.28,
22-June-2006,,,,1299.89,
23-June-2006,,,,1338.22,
26-June-2006,,,,1299.08,
27-June-2006,,,,1303.91,
28-June-2006,,,,1311.71,
29-June-2006,,,,1321.76,
30-June-2006,,,,1378.91,
3-July-2006,,,,1391.28,
4-July-2006,,,,1387.42,
5-July-2006,,,,1411.39,
6-July-2006,,,,1398.21,
7-July-2006,,,,1344.62,
10-July-2006,,,,1366.69,
11-July-2006,,,,1367.44,
12-July-2006,,,,1406.80,
13-July-2006,,,,1384.16,
14-July-2006,,,,1370.84,
17-July-2006,,,,1317.32,
18-July-2006,,,,1295.50,
19-July-2006,,,,1276.88,
20-July-2006,,,,1296.07,
21-July-2006,,,,1262.13,
24-July-2006,,,,1271.24,
25-July-2006,,,,1294.47,
26-July-2006,,,,1321.59,
27-July-2006,,,,1329.40,
28-July-2006,,,,1313.79,
31-July-2006,,,,1314.52,
1-August-2006,,,,1316.37,
2-August-2006,,,,1329.39,
3-August-2006,,,,1325.96,
4-August-2006,,,,1305.10,
7-August-2006,,,,1289.20,
8-August-2006,,,,1316.60,
9-August-2006,,,,1330.68,
10-August-2006,,,,1326.51,
11-August-2006,,,,1356.56,
14-August-2006,,,,1386.66,
16-August-2006,,,,1418.70,
17-August-2006,,,,1426.62,
18-August-2006,,,,1430.90,
21-August-2006,,,,1438.78,
22-August-2006,,,,1427.58,
23-August-2006,,,,1421.66,
24-August-2006,,,,1459.82,
25-August-2006,,,,1470.15,
28-August-2006,,,,1485.22,
29-August-2006,,,,1488.41,
30-August-2006,,,,1503.43,
31-August-2006,,,,1488.47,
1-September-2006,,,,1493.44,
4-September-2006,,,,1512.69,
5-September-2006,,,,1510.70,
6-September-2006,,,,1521.96,
7-September-2006,,,,1505.27,
8-September-2006,,,,1514.40,
11-September-2006,,,,1466.32,
12-September-2006,,,,1475.22,
13-September-2006,,,,1492.97,
14-September-2006,,,,1500.96,
15-September-2006,,,,1513.28,
18-September-2006,,,,1505.10,
19-September-2006,,,,1486.10,
20-September-2006,,,,1501.24,
21-September-2006,,,,1520.29,
22-September-2006,,,,1526.03,
25-September-2006,,,,1530.41,
26-September-2006,,,,1543.75,
27-September-2006,,,,1541.62,
28-September-2006,,,,1532.45,
29-September-2006,,,,1533.22,
3-October-2006,,,,1522.00,
4-October-2006,,,,1508.96,
5-October-2006,,,,1519.97,
6-October-2006,,,,1534.52,
9-October-2006,,,,1528.53,
10-October-2006,,,,1523.02,
11-October-2006,,,,1511.29,
